Drug	Size	Name	Recall	Precision
Ethambutol	r1000	SAMEA1103138	0.5470941883767535	0.7
Ethambutol	r1000	SAMEA1117566	0.012024048096192385	0.75
Ethambutol	r1000	SAMEA1117567	0.03406813627254509	0.7083333333333334
Ethambutol	r1000	SAMEA1117571	0.24649298597194388	0.727810650887574
Ethambutol	r1000	SAMEA1117583	0.0	0.0
Ethambutol	r1000	SAMEA1117586	0.16032064128256512	0.7017543859649122
Ethambutol	r1000	SAMEA1117596	0.42685370741482964	0.7052980132450332
Ethambutol	r1000	SAMEA1117608	0.250501002004008	0.702247191011236
Ethambutol	r1000	SAMEA1117615	0.22645290581162325	0.7243589743589743
Ethambutol	r1000	SAMEA1117633	0.15030060120240482	0.7352941176470589
Ethambutol	r1000	SAMEA1117646	0.012024048096192385	0.6
Ethambutol	r1000	SAMEA1117649	0.06613226452905811	0.868421052631579
Ethambutol	r1000	SAMEA1117659	0.22444889779559118	0.717948717948718
Ethambutol	r1000	SAMEA1117728	0.012024048096192385	0.8571428571428571
Ethambutol	r1000	SAMEA1117766	0.1683366733466934	0.7058823529411765
Ethambutol	r1000	SAMEA1117770	0.3026052104208417	0.7122641509433962
Ethambutol	r1000	SAMEA1117778	0.33867735470941884	0.7347826086956522
Ethambutol	r1000	SAMEA1117791	0.04208416833667335	0.7777777777777778
Ethambutol	r1000	SAMEA1117798	0.2625250501002004	0.7359550561797753
Ethambutol	r1000	SAMEA1117827	0.03006012024048096	0.6
Ethambutol	r1000	SAMEA1117833	0.006012024048096192	0.75
Ethambutol	r1000	SAMEA1117847	0.014028056112224449	0.5384615384615384
Ethambutol	r1000	SAMEA1117862	0.19839679358717435	0.717391304347826
Ethambutol	r1000	SAMEA1117877	0.312625250501002	0.7027027027027027
Ethambutol	r1000	SAMEA1117986	0.2625250501002004	0.7158469945355191
Ethambutol	r1000	SAMEA1118036	0.19839679358717435	0.7388059701492538
Ethambutol	r1000	SAMEA1118042	0.11022044088176353	0.7333333333333333
Ethambutol	r1000	SAMEA1118054	0.10821643286573146	0.72
Ethambutol	r1000	SAMEA1118084	0.1843687374749499	0.71875
Ethambutol	r1000	SAMEA1118096	0.2124248496993988	0.7464788732394366
Ethambutol	r1000	SAMEA1118129	0.04809619238476954	0.6153846153846154
Ethambutol	r1000	SAMEA1118131	0.05410821643286573	0.75
Ethambutol	r1000	SAMEA1118132	0.22444889779559118	0.7832167832167832
Ethambutol	r1000	SAMEA1118165	0.02404809619238477	0.7058823529411765
Ethambutol	r1000	SAMEA1118166	0.13026052104208416	0.7738095238095238
Ethambutol	r1000	SAMEA1118200	0.01603206412825651	0.6153846153846154
Ethambutol	r1000	SAMEA1118228	0.11823647294589178	0.7108433734939759
Ethambutol	r1000	SAMEA1118230	0.11422845691382766	0.7307692307692307
Ethambutol	r1000	SAMEA1118259	0.13226452905811623	0.7252747252747253
Ethambutol	r1000	SAMEA1118284	0.05811623246492986	0.7631578947368421
Ethambutol	r1000	SAMEA1118289	0.1963927855711423	0.7
Ethambutol	r1000	SAMEA1118321	0.01002004008016032	0.5555555555555556
Ethambutol	r1000	SAMEA1118322	0.15430861723446893	0.7064220183486238
Ethambutol	r1000	SAMEA1118335	0.06212424849699399	0.9393939393939394
Ethambutol	r1000	SAMEA1118372	0.09819639278557114	0.7538461538461538
Ethambutol	r1000	SAMEA1118383	0.04408817635270541	0.7586206896551724
Ethambutol	r1000	SAMEA1118392	0.06613226452905811	0.75
Ethambutol	r1000	SAMEA1118398	0.3246492985971944	0.7363636363636363
Ethambutol	r1000	SAMEA1118409	0.2545090180360721	0.7134831460674157
Ethambutol	r1000	SAMEA1118432	0.09418837675350701	0.7833333333333333
Ethambutol	r1000	SAMEA1118442	0.05410821643286573	0.5192307692307693
Ethambutol	r1000	SAMEA1118446	0.06012024048096192	0.7317073170731707
Ethambutol	r1000	SAMEA1118480	0.25851703406813625	0.7724550898203593
Ethambutol	r1000	SAMEA1118512	0.01603206412825651	0.6153846153846154
Ethambutol	r1000	SAMEA1118528	0.002004008016032064	0.5
Ethambutol	r1000	SAMEA1118539	0.09018036072144289	0.7758620689655172
Ethambutol	r1000	SAMEA1118591	0.312625250501002	0.7289719626168224
Ethambutol	r1000	SAMEA1118593	0.2725450901803607	0.7311827956989247
Ethambutol	r1000	SAMEA1118612	0.01603206412825651	0.6153846153846154
Ethambutol	r1000	SAMEA1118633	0.03807615230460922	0.7307692307692307
Ethambutol	r1000	SAMEA1118646	0.3046092184368738	0.7272727272727273
Ethambutol	r1000	SAMEA1118667	0.1683366733466934	0.7368421052631579
Ethambutol	r1000	SAMEA1118757	0.21442885771543085	0.7697841726618705
Ethambutol	r1000	SAMEA1118771	0.10020040080160321	0.847457627118644
Ethambutol	r1000	SAMEA1118835	0.2785571142284569	0.7164948453608248
Ethambutol	r1000	SAMEA1118839	0.13226452905811623	0.7333333333333333
Ethambutol	r1000	SAMEA1118851	0.12424849699398798	0.7380952380952381
Ethambutol	r1000	SAMEA1118876	0.05811623246492986	0.7837837837837838
Ethambutol	r1000	SAMEA1118896	0.12024048096192384	0.6741573033707865
Ethambutol	r1000	SAMEA1118900	0.1843687374749499	0.7603305785123967
Ethambutol	r1000	SAMEA1118907	0.002004008016032064	0.3333333333333333
Ethambutol	r1000	SAMEA1118958	0.11422845691382766	0.7215189873417721
Ethambutol	r1000	SAMEA1118982	0.028056112224448898	0.7368421052631579
Ethambutol	r1000	SAMEA1118983	0.008016032064128256	0.8
Ethambutol	r1000	SAMEA1118988	0.012024048096192385	0.6
Ethambutol	r1000	SAMEA1119045	0.16432865731462926	0.7130434782608696
Ethambutol	r1000	SAMEA1119046	0.11222444889779559	0.7368421052631579
Ethambutol	r1000	SAMEA1119056	0.16633266533066132	0.7217391304347827
Ethambutol	r1000	SAMEA1119086	0.10220440881763528	0.7846153846153846
Ethambutol	r1000	SAMEA1119088	0.01002004008016032	0.5555555555555556
Ethambutol	r1000	SAMEA1119136	0.5891783567134269	0.7519181585677749
Ethambutol	r1000	SAMEA1119144	0.1402805611222445	0.7692307692307693
Ethambutol	r1000	SAMEA1119201	0.018036072144288578	0.9
Ethambutol	r1000	SAMEA1119210	0.006012024048096192	1.0
Ethambutol	r1000	SAMEA1119214	0.06412825651302605	0.7111111111111111
Ethambutol	r1000	SAMEA1119247	0.31462925851703405	0.7072072072072072
Ethambutol	r1000	SAMEA1119261	0.052104208416833664	0.7222222222222222
Ethambutol	r1000	SAMEA1119267	0.04008016032064128	0.5128205128205128
Ethambutol	r1000	SAMEA1119310	0.14428857715430862	0.7659574468085106
Ethambutol	r1000	SAMEA1119344	0.008016032064128256	0.8
Ethambutol	r1000	SAMEA1119370	0.23647294589178355	0.7375
Ethambutol	r1000	SAMEA1119372	0.3927855711422846	0.7127272727272728
Ethambutol	r1000	SAMEA1119383	0.10020040080160321	0.746268656716418
Ethambutol	r1000	SAMEA1119384	0.14829659318637275	0.7254901960784313
Ethambutol	r1000	SAMEA1119397	0.156312625250501	0.7358490566037735
Ethambutol	r1000	SAMEA1119402	0.23246492985971945	0.7073170731707317
Ethambutol	r1000	SAMEA1119412	0.18837675350701402	0.706766917293233
Ethambutol	r1000	SAMEA1119465	0.09418837675350701	0.7833333333333333
Ethambutol	r1000	SAMEA1119474	0.08617234468937876	0.7166666666666667
Ethambutol	r1000	SAMEA1119493	0.04408817635270541	0.6875
Ethambutol	r1000	SAMEA1119513	0.05811623246492986	0.7837837837837838
Ethambutol	r1000	SAMEA1119515	0.3046092184368738	0.7450980392156863
Ethambutol	r1000	SAMEA1119563	0.1623246492985972	0.7431192660550459
Ethambutol	r1000	SAMEA1119589	0.022044088176352707	0.9166666666666666
Ethambutol	r1000	SAMEA1119623	0.12424849699398798	0.7209302325581395
Ethambutol	r1000	SAMEA1119645	0.08016032064128256	0.7547169811320755
Ethambutol	r1000	SAMEA1119654	0.028056112224448898	0.7
Ethambutol	r1000	SAMEA1119665	0.09018036072144289	0.703125
Ethambutol	r1000	SAMEA1119688	0.09218436873747494	0.8214285714285714
Ethambutol	r1000	SAMEA1119689	0.08016032064128256	0.7142857142857143
Ethambutol	r1000	SAMEA1119691	0.6052104208416834	0.7704081632653061
Ethambutol	r1000	SAMEA1119704	0.09218436873747494	0.8214285714285714
Ethambutol	r1000	SAMEA1119706	0.2905811623246493	0.7213930348258707
Ethambutol	r1000	SAMEA1119723	0.16633266533066132	0.7410714285714286
Ethambutol	r1000	SAMEA1119776	0.23046092184368738	0.7467532467532467
Ethambutol	r1000	SAMEA1119783	0.15030060120240482	0.7009345794392523
Ethambutol	r1000	SAMEA1119799	0.10420841683366733	0.7428571428571429
