Method	Drug	Coverage	Recall	Precision	Accuracy	Fscore	Specificity
vmdm	Rifampicin	0.1x	0.332467532467532	0.962406015037594	0.781302170283806	0.494208494208494	0.993849938499385
mykrobe	Rifampicin	0.1x	0	1	0.678631051752921	0	1
tb_profiler	Rifampicin	0.1x	0.109660574412533	0.954545454545455	0.713210702341137	0.19672131147541	0.997539975399754
vmdm	Ethambutol	0.05x	0.266355140186916	0.686746987951807	0.825214899713467	0.383838383838384	0.968787515006002
mykrobe	Ethambutol	0.05x	0	1	0.795606494746896	0	1
tb_profiler	Ethambutol	0.05x	0.0420560747663551	0.6	0.79847182425979	0.0786026200873362	0.992797118847539
vmdm	Isoniazid	0.05x	0.271910112359551	0.9453125	0.714408973252804	0.422338568935428	0.990196078431373
mykrobe	Isoniazid	0.05x	0	1	0.616048317515099	0	1
tb_profiler	Isoniazid	0.05x	0.0651685393258427	0.966666666666667	0.640207075064711	0.122105263157895	0.99859943977591
vmdm	Pyrazinamide	0.05x	0.125925925925926	0.80952380952381	0.842985842985843	0.217948717948718	0.993769470404984
mykrobe	Pyrazinamide	0.05x	0	1	0.826254826254826	0	1
tb_profiler	Pyrazinamide	0.05x	0.0444444444444444	1	0.833976833976834	0.0851063829787234	1
vmdm	Rifampicin	0.05x	0.220779220779221	0.977011494252874	0.747913188647746	0.360169491525424	0.997539975399754
mykrobe	Rifampicin	0.05x	0	1	0.678631051752921	0	1
tb_profiler	Rifampicin	0.05x	0.051948051948052	0.952380952380952	0.69449081803005	0.0985221674876847	0.998769987699877
vmdm	Ethambutol	0.01x	0.0747663551401869	0.695652173913043	0.804202483285578	0.135021097046413	0.991596638655462
mykrobe	Ethambutol	0.01x	0	1	0.795606494746896	0	1
tb_profiler	Ethambutol	0.01x	0.014018691588785	0.6	0.796561604584527	0.0273972602739726	0.997599039615846
vmdm	Isoniazid	0.01x	0.0853932584269663	0.974358974358974	0.647972389991372	0.15702479338843	0.99859943977591
mykrobe	Isoniazid	0.01x	0	1	0.616048317515099	0	1
tb_profiler	Isoniazid	0.01x	0.0202247191011236	1	0.62381363244176	0.039647577092511	1
vmdm	Pyrazinamide	0.01x	0.037037037037037	1	0.832689832689833	0.0714285714285714	1
mykrobe	Pyrazinamide	0.01x	0	1	0.826254826254826	0	1
tb_profiler	Pyrazinamide	0.01x	0.00740740740740741	1	0.827541827541828	0.0147058823529412	1
vmdm	Rifampicin	0.01x	0.0831168831168831	0.941176470588235	0.703672787979967	0.152744630071599	0.997539975399754
mykrobe	Rifampicin	0.01x	0	1	0.678631051752921	0	1
tb_profiler	Rifampicin	0.01x	0.0233766233766234	1	0.686143572621035	0.0456852791878173	1
