Name	Size	Drug	Phen	y_pred_prob	y_pred	model_recall	model_precision	model_accuracy	model_auc	time	cpu	memory_peak	threshold	raw_precision
ERR036186	t1000	Ethambutol	0	0.01764101086255975	0	0.8316633266533067	0.7699443413729128	0.9253945480631277	0.8321951244409834	3.33963942527771	310.566044	529812	0.5	0.7699443413729128
ERR036186	t1000	Isoniazid	0	0.06337781240715253	0	0.9204980842911877	0.9816138917262512	0.967100977198697	0.9779159265412357	3.6959378719329834	262.0376	568116	0.5	0.9816138917262512
ERR036186	t1000	Pyrazinamide	0	0.019873606569424603	0	0.5014749262536873	0.85	0.9029741589468552	0.8009579849337047	3.145113706588745	329.40477400000003	413552	0.6777994117425501	0.7353846153846154
ERR036186	t1000	Rifampicin	0	0.0689932925559293	0	0.9202975557917109	0.9807474518686297	0.9710600817867254	0.9773115014490457	9.281318187713623	554.578865	565320	0.5	0.9807474518686297
ERR036241	t1000	Ethambutol	0	0.007176516008820473	0	0.8376753507014028	0.7683823529411765	0.9257532281205165	0.8302064749335294	2.6082777976989746	232.88582	485948	0.5	0.7683823529411765
ERR036241	t1000	Isoniazid	0	0.019288363515817777	0	0.9195402298850575	0.9805924412665986	0.9664495114006515	0.9776343171147285	3.1068191528320312	270.801687	568240	0.5	0.9805924412665986
ERR036241	t1000	Pyrazinamide	0	0.01940212764144174	0	0.49262536873156343	0.8520408163265306	0.9019990248659191	0.8071820877308402	2.3141088485717773	233.789742	413416	0.6997371180140197	0.7587301587301587
ERR036241	t1000	Rifampicin	0	0.005265361326676705	0	0.9192348565356004	0.9796149490373726	0.9704309531299151	0.9777691156360435	8.052490472793579	777.372306	573228	0.5	0.9796149490373726
ERR037493	t1000	Ethambutol	0	0.005595512347006651	0	0.8256513026052105	0.7657992565055762	0.9236011477761836	0.8350415542793468	3.079106092453003	261.118377	529368	0.5	0.7657992565055762
ERR037493	t1000	Isoniazid	0	0.01929362522348783	0	0.9195402298850575	0.9785932721712538	0.9657980456026058	0.9779190014067387	4.0138537883758545	363.796691	568056	0.5	0.9785932721712538
ERR037493	t1000	Pyrazinamide	0	0.012644301286769924	0	0.4896755162241888	0.8556701030927835	0.9019990248659191	0.803094529336424	3.089216709136963	312.646088	413312	0.6943456675922292	0.7523219814241486
ERR037493	t1000	Rifampicin	0	0.00513508617818402	0	0.9202975557917109	0.9807474518686297	0.9710600817867254	0.9774507487877504	10.141831874847412	635.9993850000001	572964	0.5	0.9807474518686297
ERR037520	t1000	Ethambutol	0	0.0072108622226987685	0	0.8296593186372746	0.7652495378927912	0.9239598278335724	0.8287740578353523	3.086820363998413	274.881672	529136	0.5	0.7652495378927912
ERR037520	t1000	Isoniazid	0	0.018525909840863	0	0.9195402298850575	0.9815950920245399	0.9667752442996743	0.978001024492881	2.475520372390747	237.963775	568040	0.5	0.9815950920245399
ERR037520	t1000	Pyrazinamide	0	0.02126284777266146	0	0.49262536873156343	0.8520408163265306	0.9019990248659191	0.8023080469466481	2.8175241947174072	289.270305	413224	0.686220785577807	0.7586206896551724
ERR037520	t1000	Rifampicin	0	0.012156100438399419	0	0.9202975557917109	0.9774266365688488	0.9701163888015099	0.9773627298724015	9.096720933914185	814.486486	572748	0.5	0.9774266365688488
ERR037528	t1000	Isoniazid	0	0.03493202374392757	0	0.9195402298850575	0.9805924412665986	0.9664495114006515	0.9778704107659615	12.040955543518066	1034.839373	568172	0.5	0.9805924412665986
ERR037528	t1000	Rifampicin	0	0.018124482383130535	0	0.9192348565356004	0.9807256235827665	0.9707455174583203	0.9773467779314572	13.147859573364258	1201.3561630000002	572912	0.5	0.9807256235827665
ERR1034635	t1000	Ethambutol	0	0.005872573152256264	0	0.8236472945891784	0.7639405204460966	0.922883787661406	0.83253798526853	6.589288711547852	473.46662399999997	529144	0.5	0.7639405204460966
ERR1034635	t1000	Isoniazid	0	0.023518819427405566	0	0.9185823754789272	0.9815762538382804	0.9664495114006515	0.9778051333997392	13.102402687072754	811.4734960000001	567972	0.5	0.9815762538382804
ERR1034635	t1000	Pyrazinamide	0	0.010694137750398949	0	0.48672566371681414	0.8505154639175257	0.9010238907849829	0.8039718469661444	7.459660053253174	538.9208560000001	373924	0.7022317715162797	0.7454545454545455
ERR1034635	t1000	Rifampicin	0	0.014757074280937263	0	0.9202975557917109	0.9807474518686297	0.9710600817867254	0.9774968826462507	12.172717571258545	653.488059	573504	0.5	0.9807474518686297
ERR1034671	t1000	Ethambutol	0	0.10364727701140991	0	0.8356713426853707	0.7637362637362637	0.9243185078909613	0.8280740905775505	2.9155166149139404	286.78103300000004	529452	0.5	0.7637362637362637
ERR1034671	t1000	Isoniazid	1	0.995225324850404	1	0.9176245210727969	0.9775510204081632	0.9648208469055375	0.9765511816502892	10.932154893875122	855.083899	568472	0.5	0.9775510204081632
ERR1034671	t1000	Rifampicin	1	0.9891153255264591	1	0.9064824654622742	0.9748571428571429	0.9653979238754326	0.9751782373921108	9.476579904556274	703.83321	572772	0.5	0.9748571428571429
ERR1034684	t1000	Ethambutol	0	0.11422272573572545	0	0.8356713426853707	0.7595628415300546	0.9232424677187948	0.831317383054608	3.226548910140991	222.823646	529316	0.5	0.7595628415300546
ERR1034684	t1000	Isoniazid	1	0.9942398841305184	1	0.8946360153256705	0.982124079915878	0.9586319218241043	0.9664632633561282	3.3470680713653564	225.39212199999997	568248	0.5	0.982124079915878
ERR1034684	t1000	Rifampicin	1	0.990446373713864	1	0.9128586609989373	0.9739229024943311	0.9669707455174583	0.9745415162731161	6.830172538757324	686.3518819999999	572920	0.5	0.9739229024943311
ERR1034685	t1000	Ethambutol	1	0.019017562894373632	0	0.8336673346693386	0.7661141804788214	0.9246771879483501	0.8260069506699736	18.377378225326538	983.077088	529580	0.5	0.7661141804788214
ERR1034685	t1000	Isoniazid	1	0.9886671973591955	1	0.9204980842911877	0.9776195320447609	0.9657980456026058	0.9775182586254675	11.903317928314209	681.827197	568448	0.5	0.9776195320447609
ERR1034685	t1000	Rifampicin	1	0.1351928374152229	0	0.9202975557917109	0.9752252252252253	0.9694872601446995	0.9774612215482791	16.483367204666138	1339.341909	572904	0.5	0.9752252252252253
ERR1034724	t1000	Ethambutol	0	0.4597039749415121	0	0.8236472945891784	0.7583025830258303	0.9214490674318508	0.8288815009480502	15.598220348358154	682.255172	529244	0.5	0.7583025830258303
ERR1034724	t1000	Isoniazid	1	0.9948439209912447	1	0.9185823754789272	0.9785714285714285	0.965472312703583	0.9771663409908792	11.620900392532349	1087.982522	567800	0.5	0.9785714285714285
ERR1034724	t1000	Rifampicin	1	0.9915243068941468	1	0.9128586609989373	0.9739229024943311	0.9669707455174583	0.9750543245357131	15.764180660247803	1087.8706849999999	572764	0.5	0.9739229024943311
ERR1034749	t1000	Ethambutol	0	0.03094053488008892	0	0.845691382765531	0.7617328519855595	0.9250358680057389	0.8281394588681975	13.004157543182373	500.646641	529168	0.5	0.7617328519855595
ERR1034749	t1000	Isoniazid	1	0.8971431507440131	1	0.9204980842911877	0.9806122448979592	0.9667752442996743	0.9780503294049308	3.8678927421569824	319.084902	568380	0.5	0.9806122448979592
ERR1034749	t1000	Rifampicin	0	0.3767675301893978	0	0.9181721572794899	0.976271186440678	0.9691726958162944	0.9775626365503202	8.247553825378418	507.904022	573044	0.5	0.976271186440678
