mean_fpr	mean_tpr	tprs_lower	tprs_upper
0.0	0.0	0.0	0.0
0.010101010101010102	0.7264022201078595	0.7074260465429952	0.7453783936727237
0.020202020202020204	0.8157809026060534	0.7984059003801567	0.8331559048319501
0.030303030303030304	0.8622048752667762	0.8523510111431238	0.8720587393904287
0.04040404040404041	0.8835177932534007	0.8765306568495385	0.890504929657263
0.05050505050505051	0.8949126488711855	0.8891133330925333	0.9007119646498377
0.06060606060606061	0.9035642201221712	0.8980019330754072	0.9091265071689352
0.07070707070707072	0.9107383297911682	0.9047843515680322	0.9166923080143042
0.08080808080808081	0.9162246757470849	0.9098044107219363	0.9226449407722335
0.09090909090909091	0.9208673626241428	0.9151750113079661	0.9265597139403196
0.10101010101010102	0.9269868427501459	0.9211278040489027	0.932845881451389
0.11111111111111112	0.9331065456538301	0.9274782566567985	0.9387348346508617
0.12121212121212122	0.9360610232624456	0.9313883822628497	0.9407336642620414
0.13131313131313133	0.9381707279037957	0.9326211098445903	0.9437203459630011
0.14141414141414144	0.9398591599499196	0.9347141227664127	0.9450041971334265
0.15151515151515152	0.9434472172839836	0.940261207342896	0.9466332272250713
0.16161616161616163	0.9459795311866476	0.942114625830275	0.9498444365430201
0.17171717171717174	0.9478787109192253	0.9433174547046319	0.9524399671338186
0.18181818181818182	0.9489337860175816	0.9444713152797929	0.9533962567553703
0.19191919191919193	0.9512555750114731	0.9477007866146983	0.9548103634082479
0.20202020202020204	0.9529433387245533	0.9499102798197034	0.9559763976294031
0.21212121212121213	0.9550539344766283	0.9518841654606814	0.9582237034925752
0.22222222222222224	0.9571638618956598	0.9549899376731196	0.9593377861182001
0.23232323232323235	0.9588518483864211	0.9558650734060915	0.9618386233667507
0.24242424242424243	0.9601178939489128	0.9574955643783032	0.9627402235195224
0.25252525252525254	0.9613843850667665	0.9592145900807826	0.9635541800527504
0.26262626262626265	0.9632835647993441	0.960843976812716	0.9657231527859721
0.27272727272727276	0.9639164761917491	0.9610552519290301	0.9667777004544682
0.2828282828282829	0.9658152103689643	0.9632609896294493	0.9683694311084794
0.29292929292929293	0.9675031968597259	0.9648785726027658	0.9701278211166859
0.30303030303030304	0.9683475242716284	0.965760819584914	0.9709342289583428
0.31313131313131315	0.9696135698341198	0.9669922317885664	0.9722349078796733
