Method	Drug	Size	Recall	Precision	Accuracy	Fscore	Specificity	tp	fp	tn	fn	un
vmdm	Kanamycin	r5000	0.0232558139534884	1	0.732484076433121	0.0454545454545454	1	1	0	114	42	0
vmdm	Kanamycin	r50000	0.325581395348837	1	0.815286624203822	0.491228070175439	1	14	0	114	29	0
vmdm	Kanamycin	r500000	0.86046511627907	1	0.961783439490446	0.925	1	37	0	114	6	0
vmdm	Linezolid	r1000	0	1	1	0	1	0	0	4	0	0
vmdm	Linezolid	r10000	0	1	1	0	1	0	0	4	0	0
vmdm	Linezolid	r100000	0	1	1	0	1	0	0	4	0	0
vmdm	Linezolid	r1000000	0	1	1	0	1	0	0	4	0	0
vmdm	Linezolid	r5000	0	1	1	0	1	0	0	4	0	0
vmdm	Linezolid	r50000	0	1	1	0	1	0	0	4	0	0
vmdm	Linezolid	r500000	0	1	1	0	1	0	0	4	0	0
vmdm	Moxifloxacin	r1000	0	1	0.790697674418605	0	1	0	0	68	18	0
vmdm	Moxifloxacin	r10000	0	0	0.779069767441861	NA	0.985294117647059	0	1	67	18	0
vmdm	Moxifloxacin	r100000	0.5	0.692307692307692	0.848837209302326	0.580645161290323	0.941176470588235	9	4	64	9	0
vmdm	Moxifloxacin	r1000000	0.888888888888889	0.727272727272727	0.906976744186046	0.8	0.911764705882353	16	6	62	2	0
vmdm	Moxifloxacin	r5000	0	1	0.790697674418605	0	1	0	0	68	18	0
vmdm	Moxifloxacin	r50000	0.333333333333333	0.75	0.837209302325581	0.461538461538462	0.970588235294118	6	2	66	12	0
vmdm	Moxifloxacin	r500000	0.888888888888889	0.727272727272727	0.906976744186046	0.8	0.911764705882353	16	6	62	2	0
vmdm	Pyrazinamide	r1000	0.037037037037037	1	0.832689832689833	0.0714285714285714	1	5	0	642	130	0
vmdm	Pyrazinamide	r10000	0.185185185185185	0.806451612903226	0.850707850707851	0.301204819277108	0.990654205607477	25	6	636	110	0
vmdm	Pyrazinamide	r100000	0.525925925925926	0.816091954022989	0.897039897039897	0.63963963963964	0.975077881619938	71	16	626	64	0
vmdm	Pyrazinamide	r1000000	0.911111111111111	0.836734693877551	0.953667953667954	0.872340425531915	0.962616822429907	123	24	618	12	0
vmdm	Pyrazinamide	r5000	0.125925925925926	0.80952380952381	0.842985842985843	0.217948717948718	0.993769470404984	17	4	638	118	0
vmdm	Pyrazinamide	r50000	0.407407407407407	0.846153846153846	0.884169884169884	0.55	0.984423676012461	55	10	632	80	0
vmdm	Pyrazinamide	r500000	0.888888888888889	0.845070422535211	0.952380952380952	0.866425992779783	0.965732087227414	120	22	620	15	0
vmdm	Rifampicin	r1000	0.0831168831168831	0.941176470588235	0.703672787979967	0.152744630071599	0.997539975399754	32	2	811	353	0
vmdm	Rifampicin	r10000	0.332467532467532	0.962406015037594	0.781302170283806	0.494208494208494	0.993849938499385	128	5	808	257	0
vmdm	Rifampicin	r100000	0.794805194805195	0.971428571428571	0.926544240400668	0.874285714285714	0.988929889298893	306	9	804	79	0
vmdm	Rifampicin	r1000000	0.979220779220779	0.984334203655353	0.988313856427379	0.981770833333333	0.992619926199262	377	6	807	8	0
vmdm	Rifampicin	r5000	0.220779220779221	0.977011494252874	0.747913188647746	0.360169491525424	0.997539975399754	85	2	811	300	0
vmdm	Rifampicin	r50000	0.67012987012987	0.955555555555556	0.883973288814691	0.787786259541985	0.985239852398524	258	12	801	127	0
vmdm	Rifampicin	r500000	0.971428571428571	0.984210526315789	0.985809682804674	0.977777777777778	0.992619926199262	374	6	807	11	0
vmdm	Streptomycin	r1000	0.0261780104712042	1	0.645714285714286	0.0510204081632653	1	5	0	334	186	0
vmdm	Streptomycin	r10000	0.0837696335078534	0.941176470588235	0.664761904761905	0.153846153846154	0.997005988023952	16	1	333	175	0
vmdm	Streptomycin	r100000	0.507853403141361	0.950980392156863	0.811428571428571	0.662116040955631	0.985029940119761	97	5	329	94	0
vmdm	Streptomycin	r1000000	0.790575916230366	0.898809523809524	0.891428571428571	0.841225626740947	0.949101796407186	151	17	317	40	0
vmdm	Streptomycin	r5000	0.0523560209424084	0.909090909090909	0.653333333333333	0.099009900990099	0.997005988023952	10	1	333	181	0
vmdm	Streptomycin	r50000	0.298429319371728	0.95	0.739047619047619	0.454183266932271	0.991017964071856	57	3	331	134	0
vmdm	Streptomycin	r500000	0.790575916230366	0.909638554216867	0.895238095238095	0.84593837535014	0.955089820359281	151	15	319	40	0
mykrobe	Amikacin	r1000	0	1	0.808383233532934	0	1	0	0	135	32	0
mykrobe	Amikacin	r10000	0	1	0.808383233532934	0	1	0	0	135	32	0
mykrobe	Amikacin	r100000	0.1875	0.857142857142857	0.838323353293413	0.307692307692308	0.992592592592593	6	1	134	26	0
mykrobe	Amikacin	r1000000	0.9375	0.857142857142857	0.958083832335329	0.895522388059701	0.962962962962963	30	5	130	2	0
mykrobe	Amikacin	r5000	0	1	0.808383233532934	0	1	0	0	135	32	0
mykrobe	Amikacin	r50000	0	0	0.802395209580838	NA	0.992592592592593	0	1	134	32	0
mykrobe	Amikacin	r500000	0.84375	0.84375	0.940119760479042	0.84375	0.962962962962963	27	5	130	5	0
mykrobe	Bedaquiline	r1000	0	1	1	0	1	0	0	3	0	0
mykrobe	Bedaquiline	r10000	0	1	1	0	1	0	0	3	0	0
mykrobe	Bedaquiline	r100000	0	1	1	0	1	0	0	3	0	0
mykrobe	Bedaquiline	r1000000	0	1	1	0	1	0	0	3	0	0
mykrobe	Bedaquiline	r5000	0	1	1	0	1	0	0	3	0	0
mykrobe	Bedaquiline	r50000	0	1	1	0	1	0	0	3	0	0
mykrobe	Bedaquiline	r500000	0	1	1	0	1	0	0	3	0	0
mykrobe	Capreomycin	r1000	0	1	0.729411764705882	0	1	0	0	124	46	0
mykrobe	Capreomycin	r10000	0	1	0.729411764705882	0	1	0	0	124	46	0
mykrobe	Capreomycin	r100000	0.173913043478261	1	0.776470588235294	0.296296296296296	1	8	0	124	38	0
mykrobe	Capreomycin	r1000000	0.869565217391304	0.909090909090909	0.941176470588235	0.888888888888889	0.967741935483871	40	4	120	6	0
mykrobe	Capreomycin	r5000	0	1	0.729411764705882	0	1	0	0	124	46	0
mykrobe	Capreomycin	r50000	0.0434782608695652	1	0.741176470588235	0.0833333333333333	1	2	0	124	44	0
mykrobe	Capreomycin	r500000	0.760869565217391	0.897435897435897	0.911764705882353	0.823529411764706	0.967741935483871	35	4	120	11	0
mykrobe	Clofazimine	r1000	0	1	1	0	1	0	0	6	0	0
mykrobe	Clofazimine	r10000	0	1	1	0	1	0	0	6	0	0
mykrobe	Clofazimine	r100000	0	1	1	0	1	0	0	6	0	0
mykrobe	Clofazimine	r1000000	0	1	1	0	1	0	0	6	0	0
mykrobe	Clofazimine	r5000	0	1	1	0	1	0	0	6	0	0
mykrobe	Clofazimine	r50000	0	1	1	0	1	0	0	6	0	0
mykrobe	Clofazimine	r500000	0	1	1	0	1	0	0	6	0	0
mykrobe	Delamanid	r1000	0	1	1	0	1	0	0	2	0	0
mykrobe	Delamanid	r10000	0	1	1	0	1	0	0	2	0	0
mykrobe	Delamanid	r100000	0	1	1	0	1	0	0	2	0	0
mykrobe	Delamanid	r1000000	0	1	1	0	1	0	0	2	0	0
mykrobe	Delamanid	r5000	0	1	1	0	1	0	0	2	0	0
mykrobe	Delamanid	r50000	0	1	1	0	1	0	0	2	0	0
mykrobe	Delamanid	r500000	0	1	1	0	1	0	0	2	0	0
mykrobe	Ethambutol	r1000	0	1	0.795606494746896	0	1	0	0	833	214	0
mykrobe	Ethambutol	r10000	0	1	0.795606494746896	0	1	0	0	833	214	0
mykrobe	Ethambutol	r100000	0.177570093457944	0.844444444444444	0.825214899713467	0.293436293436293	0.991596638655462	38	7	826	176	0
mykrobe	Ethambutol	r1000000	0.845794392523365	0.735772357723577	0.90639923591213	0.78695652173913	0.921968787515006	181	65	768	33	0
mykrobe	Ethambutol	r5000	0	1	0.795606494746896	0	1	0	0	833	214	0
mykrobe	Ethambutol	r50000	0.0420560747663551	0.75	0.801337153772684	0.079646017699115	0.99639855942377	9	3	830	205	0
mykrobe	Ethambutol	r500000	0.766355140186916	0.752293577981651	0.900668576886342	0.759259259259259	0.935174069627851	164	54	779	50	0
mykrobe	Ethionamide	r1000	0	1	0.551282051282051	0	1	0	0	43	35	0
mykrobe	Ethionamide	r10000	0	1	0.551282051282051	0	1	0	0	43	35	0
mykrobe	Ethionamide	r100000	0.228571428571429	0.888888888888889	0.641025641025641	0.363636363636364	0.976744186046512	8	1	42	27	0
mykrobe	Ethionamide	r1000000	0.857142857142857	0.697674418604651	0.769230769230769	0.769230769230769	0.697674418604651	30	13	30	5	0
mykrobe	Ethionamide	r5000	0	1	0.551282051282051	0	1	0	0	43	35	0
mykrobe	Ethionamide	r50000	0.0571428571428571	1	0.576923076923077	0.108108108108108	1	2	0	43	33	0
mykrobe	Ethionamide	r500000	0.857142857142857	0.714285714285714	0.782051282051282	0.779220779220779	0.720930232558139	30	12	31	5	0
mykrobe	Isoniazid	r1000	0	1	0.616048317515099	0	1	0	0	714	445	0
mykrobe	Isoniazid	r10000	0	1	0.616048317515099	0	1	0	0	714	445	0
